book name,authors_name
War of Lanka (Ram Chandra Series Book 4),Amish Tripathi
Atomic Habits: The life-changing million copy bestseller,James Clear
The Psychology of Money,Morgan Housel
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books
Ikigai: The Japanese secret to a long and happy life,Héctor García
The Answer Writing Manual for UPSC Civil Services & State PSC Examinations,Srushti Deshmukh Gowda IAS
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki
Concept of Physics by H.C Verma Part - I - Session 2022-23,H.C. Verma
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty",Sudha Murty
The Power of Your Subconscious Mind,Joseph Murphy
Word Power Made Easy,Norman Lewis
The Power of Your Subconscious Mind,Joseph Murphy
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie
"MTG Objective NCERT at your FINGERTIPS - Biology, Best NEET Books (Based on NCERT Pattern - Latest & Revised Edition 2022)",MTG Editorial Board
How to Win Friends and Influence People,Dale Carnegie
Indian Polity ( English| 6th Revised Edition) | UPSC | Civil Services Exam | State Administrative Exams,M Laxmikanth
"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life | Inspirational Zen book on motivation, self-development & healthy living",Gaur Gopal Das
"Oxford Student Atlas for India, Fourth Edition - Useful for Competitive Exams",Oxford University Press
Trading Chart Breakout Pattern & Candlestick Pattern Pocket Study,Akash Kundur
It Ends With Us: A Novel: Volume 1,Colleen Hoover
